skill_id,skill_name,skill_type,skill_description
117,Content Management,Management,The process of managing and optimizing digital content.
64,Healthcare IT,Technical,The use of technology in managing healthcare systems and data.
144,Data Analysis,Analytical,The ability to analyze and interpret data to make informed decisions.
53,Emotional Intelligence,Soft,"The ability to recognize, understand, and manage your own emotions, and the emotions of others."
35,UI/UX Design,Creative,The ability to design user interfaces and optimize user experiences.
69,Human Resource Management,Management,A professional responsible for managing employee relations and organizational development.
95,Conflict Resolution,Soft,The ability to resolve disputes and conflicts in a constructive manner.
89,Linguistics and Language Analysis,Analytical,"A professional who studies language and its structure, development, and usage."
74,Negotiation,Soft,The ability to negotiate with others to reach mutually beneficial agreements.
52,Problem Solving,Analytical,The ability to approach complex problems and find effective solutions.
144,Software Testing,Technical,The process of evaluating software to ensure it meets specified requirements.
106,Supply Chain Management,Management,The management of the flow of goods and services from origin to consumer.
21,Leadership,Management,"The ability to lead, motivate, and guide a team towards achieving goals."
123,Music Performance and Production,Creative,"An artist who creates and performs music, including composing and producing."
11,Digital Transformation,Management,The integration of digital technology into all areas of business.
36,Python Programming,Technical,The ability to write Python code for various applications.
62,Building Maintenance,Soft,A person responsible for cleaning and maintaining the cleanliness of buildings and spaces.
77,Health Informatics,Technical,The use of technology to manage and analyze health data.
8,Health Informatics,Technical,The use of technology to manage and analyze health data.
58,Healthcare Management,Management,A professional responsible for managing healthcare systems and teams.
64,SQL Databases,Technical,The ability to write SQL queries to interact with databases.
37,Time Management,Soft,The ability to manage and prioritize time effectively.
67,Robotics,Technical,"The design, construction, and operation of robots."
139,Presentation Skills,Soft,The ability to effectively present information to an audience.
140,Legal Services,Management,A legal professional who represents clients in legal matters and court proceedings.
146,Change Management,Management,The ability to manage and facilitate organizational changes effectively.
122,Communication,Soft,The ability to effectively communicate ideas and information.
148,Customer Service,Soft,A person who serves food and beverages to customers in a restaurant or other establishment.
117,Business Analytics,Analytical,The ability to use data analysis to improve business decision-making.
116,Leadership,Management,"The ability to lead, motivate, and guide a team towards achieving goals."
17,Building Maintenance,Soft,A person responsible for cleaning and maintaining the cleanliness of buildings and spaces.
107,Digital Marketing,Management,The use of digital channels to promote products or services.
95,Negotiation,Soft,The ability to negotiate with others to reach mutually beneficial agreements.
23,Healthcare Management,Management,A professional responsible for managing healthcare systems and teams.
48,Academic Teaching,Soft,An academic professional who teaches courses in a college or university.
54,Time Management,Soft,The ability to manage and prioritize time effectively.
43,Linguistics and Language Analysis,Analytical,"A professional who studies language and its structure, development, and usage."
